,Coach,From,To,Last School,Yrs,G,W,L,W-L%,CREG,CTRN,NCAA,FF,NC
2300,Dale Morey,1943,1944,Louisiana State,2,47,28,19,.596,0,0,0,0,0
2301,Dell Morgan,1932,1934,Texas Tech,3,68,40,28,.588,2,0,,,
2302,Morton Morgan,1903,1903,Baker University,1,11,6,5,.545,0,0,,,
2303,Wayne Morgan,1997,2006,Iowa State,9,269,146,123,.543,1,0,1,0,0
2304,Fred Morrell,1902,1902,Nebraska,1,8,5,3,.625,0,0,,,
2305,Stew Morrill,1987,2015,Utah State,29,914,620,294,.678,8,7,9,0,0
2306,Country Morris,1920,1920,Clemson,1,14,8,6,.571,0,0,,,
2307,Hart Morris,1949,1952,Miami (FL),4,94,57,37,.606,0,0,0,0,0
2308,Robert Morris,1948,1954,Brown,7,148,61,87,.412,0,0,0,0,0
2309,Speedy Morris,1987,2001,La Salle,15,441,238,203,.540,3,4,4,0,0
2310,W.H. Morris,1917,1917,Texas A&M,1,19,11,8,.579,0,0,,,
2311,Dale Morrison,1917,1917,Southern Methodist,1,14,12,2,.857,0,0,,,
2312,Dwayne Morrison,1964,1981,Georgia Tech,9,225,95,130,.422,0,0,0,0,0
2313,Guy Morrison,1925,1925,DePauw,1,19,12,7,.632,0,0,,,
2314,John Morrison,1973,1974,Canisius,2,50,27,23,.540,0,0,0,0,0
2315,Ray Morrison,1919,1919,Vanderbilt,1,10,8,2,.800,0,0,,,
2316,Stan Morrison,1973,1998,San Jose State,23,630,275,355,.437,2,2,4,0,0
2317,Whitelaw Morrison,1918,1918,Cincinnati,1,8,2,6,.250,0,0,,,
2318,Gus Morrow,1930,1946,Vanderbilt,4,71,31,40,.437,0,0,0,0,0
2319,Bryan Morse,1921,1923,George Washington,3,43,16,27,.372,0,0,,,
2320,Bubbs Moseley,1915,1920,Baylor,6,93,28,65,.301,0,0,,,
2321,Porter Moser,2001,2016,Loyola (IL),12,368,176,192,.478,0,0,0,0,0
2322,Benny Moss,2007,2010,North Carolina-Wilmington,4,115,41,74,.357,0,0,0,0,0
2323,Gary Moss,1985,1989,Sam Houston State,4,94,38,56,.404,0,0,0,0,0
2324,LeVelle Moton,2011,2016,North Carolina Central,6,192,120,72,.625,2,1,1,0,0
2325,Kennon Mott,1919,1919,Georgia,1,8,5,3,.625,0,0,,,
2326,Dick Motta,1964,1968,Weber State,5,127,98,29,.772,3,0,1,0,0
2327,Kevin Mouton,2008,2008,Oregon State,1,13,0,13,.000,0,0,0,0,0
2328,Curly Movold,1919,1919,North Dakota State,1,14,9,5,.643,0,0,,,
2329,Kenneth Moyer,1961,1963,Muhlenburg,3,68,14,54,.206,0,0,0,0,0
2330,George Muellich,1951,1951,Bowling Green State,1,13,5,8,.385,0,0,0,0,0
2331,Bob Mulcahy,1974,1976,Eastern Kentucky,3,73,25,48,.342,0,0,0,0,0
2332,Joe Mullaney,1919,1919,Butler,1,10,1,9,.100,0,0,,,
2333,Joseph Mullaney,1958,1985,Brown,19,515,319,196,.619,0,0,3,0,0
2334,James Mullen,1913,1913,Dartmouth,1,12,4,8,.333,0,0,,,
2335,H.P. Mullennex,1918,1919,West Virginia,2,33,12,21,.364,0,0,,,
2336,Chief Muller,1927,1928,Manhattan,2,34,22,12,.647,0,0,,,
2337,Dan Muller,2013,2016,Illinois State,4,134,76,58,.567,0,0,0,0,0
2338,Bill Mulligan,1981,1991,UC-Irvine,11,319,163,156,.511,0,0,0,0,0
2339,Chris Mullin,2016,2016,St. John's (NY),1,32,8,24,.250,0,0,0,0,0
2340,Jeff Mullins,1986,1996,Charlotte,11,324,182,142,.562,2,2,3,0,0
2341,John Mulroy,1988,1988,Detroit Mercy,1,27,7,20,.259,0,0,0,0,0
2342,Frank Mulzoff,1971,1973,St. John's (NY),3,83,56,27,.675,0,0,1,0,0
2343,Roy Mundorff,1927,1943,Georgia Tech,17,307,173,134,.564,1,1,0,0,0
2344,Jack Murdock,1966,1966,Wake Forest,1,26,8,18,.308,0,0,0,0,0
2345,Charles Murphy,1908,1908,Oregon,1,17,8,9,.471,0,0,,,
2346,Ed Murphy,1987,1992,Mississippi,6,174,76,98,.437,0,0,0,0,0
2347,Fred Murphy,1913,1917,Northwestern,4,70,36,34,.514,0,0,,,
2348,J. Murphy,1920,1921,Lehigh,2,26,11,15,.423,0,0,,,
2349,Jack Murphy,2013,2016,Northern Arizona,4,132,54,78,.409,0,0,0,0,0
2350,Pete Murphy,1973,1973,Trinity (TX),1,25,14,11,.560,0,0,0,0,0
2351,Rob Murphy,2012,2016,Eastern Michigan,5,171,91,80,.532,1,0,0,0,0
2352,Russell Murphy,1921,1921,Union (NY),1,19,10,9,.526,0,0,,,
2353,William Murphy,1903,1903,Yale,1,16,15,1,.938,1,0,,,
2354,Frank Murray,1921,1929,Marquette,9,167,94,73,.563,0,0,,,
2355,Fred Murray,1920,1920,Rhode Island,1,11,3,8,.273,0,0,,,
2356,John Murray,1918,1918,Columbia,1,13,4,9,.308,0,0,,,
2357,Robert Murth,1944,1944,Southern California,1,10,2,8,.200,0,0,0,0,0
2358,Arthur Musicat,1937,1946,Brooklyn,8,138,71,67,.514,0,0,0,0,0
2359,Bill Musselman,1972,1997,South Alabama,6,158,104,54,.658,2,1,2,0,0
2360,Eric Musselman,2016,2016,Nevada,1,35,22,13,.629,0,0,0,0,0
2361,Malcolm Musser,1918,1942,Bucknell,13,209,110,99,.526,0,0,0,0,0
2362,W.W.H. Mustaine,1913,1914,Montana,2,19,7,12,.368,0,0,,,
2363,Robert Muth,1945,1945,Southern California,1,24,15,9,.625,0,0,0,0,0
2364,S.E. Muthart,1914,1915,Lehigh,2,30,21,9,.700,0,0,,,
2365,C.F. Myers,1919,1925,Citadel,7,73,50,23,.685,0,0,,,
2366,Gerald Myers,1971,1991,Texas Tech,21,587,325,262,.554,2,3,4,0,0
2367,Jack Nagle,1954,1958,Marquette,5,124,69,55,.556,0,0,1,0,0
2368,Scott Nagy,2009,2016,South Dakota State,8,265,167,98,.630,3,3,3,0,0
2369,Doc Naismith,1899,1907,Kansas,9,115,55,60,.478,0,0,,,
2370,Lynn Nance,1977,1993,Washington,11,299,151,148,.505,1,0,1,0,0
2371,Bobby Nash,2008,2010,Hawaii,3,90,34,56,.378,0,0,0,0,0
2372,Brian Nash,2006,2010,St. Francis (NY),5,146,47,99,.322,0,0,0,0,0
2373,James Nau,1964,1965,Idaho State,2,50,18,32,.360,0,0,0,0,0
2374,Craig Neal,2014,2016,New Mexico,3,97,59,38,.608,0,1,1,0,0
2375,Greasy Neale,1920,1920,Marietta,1,18,15,3,.833,0,0,,,
2376,Alcott Neary,1915,1915,Fordham,1,32,17,15,.531,0,0,,,
2377,John Neary,1909,1910,Maine,2,20,13,7,.650,0,0,,,
2378,Danny Nee,1981,2006,Duquesne,26,791,409,382,.517,1,3,7,0,0
2379,James Needles,1924,1944,San Francisco,11,191,124,67,.649,0,0,0,0,0
2380,Benjamin Neff,1948,1950,Saint Mary's (CA),3,79,27,52,.342,0,0,0,0,0
2381,Albert E. Negratti,1956,1967,Portland,12,319,163,156,.511,0,0,1,0,0
2382,Wil Nelp,1922,1922,Franklin,1,16,8,8,.500,0,0,,,
2383,Bill Nelson,1913,1913,Notre Dame,1,15,13,2,.867,0,0,,,
2384,John Nelson,1980,1981,Georgia Southern,2,36,7,29,.194,0,0,0,0,0
2385,Oscar Nelson,1913,1913,Vanderbilt,1,7,3,4,.429,0,0,,,
2386,Randy Nesbit,1986,1992,Citadel,7,196,75,121,.383,0,0,0,0,0
2387,George Nessman,2006,2013,San Jose State,8,247,86,161,.348,0,0,0,0,0
2388,Ernie Nestor,1989,2009,Elon,11,333,135,198,.405,1,1,1,0,0
2389,Jeff Neubauer,2006,2016,Fordham,11,353,205,148,.581,0,2,2,0,0
2390,Mike Newell,1985,1993,Lamar,9,279,175,104,.627,3,3,3,0,0
2391,Pete Newell,1947,1960,University of California,14,357,234,123,.655,4,0,4,2,1
2392,Andy Newman,2013,2013,Cal State Fullerton,1,32,14,18,.438,0,0,0,0,0
2393,Don Newman,1993,1998,Arizona State,6,166,38,128,.229,0,0,0,0,0
2394,Tommy Newman,1984,1986,North Texas,3,84,24,60,.286,0,0,0,0,0
2395,C.M. Newton,1969,1989,Vanderbilt,20,578,340,238,.588,3,0,4,0,0
2396,Steve Newton,1986,1993,South Carolina,8,236,136,100,.576,4,3,3,0,0
2397,Gregg Nibert,2011,2016,Presbyterian,6,187,62,125,.332,0,0,0,0,0
2398,Bob Nichols,1966,1987,Toledo,22,588,377,211,.641,4,1,3,0,0
2399,J.H. Nichols,1912,1912,Oberlin,1,12,9,3,.750,0,0,,,
2400,Lonnie Nichols,1982,1983,Oklahoma City,2,54,18,36,.333,0,0,0,0,0
2401,Patrick Nicholson,1923,1925,Rice,2,21,3,18,.143,0,0,,,
2402,Kevin Nickelberry,2007,2016,Howard,9,282,108,174,.383,0,0,0,0,0
2403,William Nicolai,1914,1917,Temple,4,57,31,26,.544,0,0,,,
2404,Joseph Niland,1949,1953,Canisius,5,125,72,53,.576,2,0,0,0,0
2405,Jerry Nissen,1915,1918,Montana,4,47,20,27,.426,0,0,,,
2406,Mark Nixon,1989,1992,Texas-Arlington,4,115,56,59,.487,0,0,0,0,0
2407,Dudy Noble,1919,1919,Mississippi,1,3,0,3,.000,0,0,,,
2408,Chuck Noe,1953,1976,Virginia Commonwealth,15,340,198,142,.582,1,0,0,0,0
2409,Tommy Nolan,1957,1960,Georgetown,4,89,40,49,.449,0,0,0,0,0
2410,Doug Noll,2003,2005,IPFW,3,74,15,59,.203,0,0,0,0,0
2411,Lonnie Noojin,1918,1918,Alabama,1,7,2,5,.286,0,0,,,
2412,Ron Nord,1963,1968,Montana,6,146,51,95,.349,0,0,0,0,0
2413,Nelson Nordgren,1915,1917,Utah,3,33,26,7,.788,0,0,,,
2414,Carl Nordly,1943,1944,Minnesota,2,40,17,23,.425,0,0,0,0,0
2415,Nelson Norgren,1922,1946,Chicago,23,428,131,297,.306,1,0,0,0,0
2416,Rock Norman,1928,1946,Clemson,18,310,149,161,.481,1,0,0,0,0
2417,Kenneth Norton,1947,1968,Manhattan,22,505,300,205,.594,6,0,2,0,0
2418,Leo Novak,1927,1939,Army,13,187,126,61,.674,0,0,0,0,0
2419,Haskell Noyes,1909,1914,Yale,4,59,37,22,.627,0,0,,,
2420,James Nufer,1905,1905,Purdue,1,9,3,6,.333,0,0,,,
2421,Jack Null,1956,1958,Virginia Military Institute,3,70,12,58,.171,0,0,0,0,0
2422,Dennis Nutt,2001,2006,Texas State,6,168,72,96,.429,0,0,0,0,0
2423,Dickey Nutt,1996,2015,Southeast Missouri State,19,564,269,295,.477,2,1,1,0,0
2424,Mike Nyikos,1929,1936,Saint Louis,8,148,93,55,.628,0,0,,,
2425,George O'Brien,1914,1920,Mount Union,7,79,46,33,.582,0,0,,,
2426,Harry O'Brien,1915,1918,Citadel,4,42,26,16,.619,0,0,,,
2427,Jim O'Brien,1983,2004,Ohio State,22,673,368,305,.547,4,2,7,1,0
2428,Jim O'Brien,1990,1994,Dayton,5,148,61,87,.412,0,1,1,0,0
2429,Joe O'Brien,2007,2012,Idaho State,6,161,56,105,.348,0,0,0,0,0
2430,Obie O'Brien,1942,1944,La Salle,3,62,33,29,.532,0,0,0,0,0
2431,Gus O'Conner,1920,1920,Northern Arizona,1,2,2,0,1.000,0,0,,,
2432,Bill O'Connor,1973,1978,Seattle,6,159,71,88,.447,0,0,0,0,0
2433,Bucky O'Connor,1950,1958,Iowa,8,173,114,59,.659,2,0,2,2,0
2434,Terry O'Connor,1982,1985,Fairfield,4,113,45,68,.398,0,0,0,0,0
2435,Tom O'Connor,1973,1974,Dartmouth,2,52,10,42,.192,0,0,0,0,0
2436,Frank O'Donnell,1907,1907,Fordham,1,25,16,9,.640,0,0,,,
2437,John O'Donnell,1905,1909,Manhattan,5,55,22,33,.400,0,0,,,
2438,Buddy O'Grady,1950,1952,Georgetown,3,71,35,36,.493,0,0,0,0,0
2439,Fran O'Hanlon,1996,2016,Lafayette,21,627,294,333,.469,3,3,3,0,0
